statistic,value
min_db,-24.901960784313726
max_db,0.0
mean_db,-8.858700405044647
std_db,4.244595237906715
mountain_threshold,-19.019607843137255
p02,-18.03921568627451
p10,-15.0
p25,-11.76470588235294
p45,-8.823529411764707
p65,-6.862745098039216
p85,-4.7058823529411775
corner_mountain_percent,0.0
very_deep_glacier_percent,1.0152582159624413
deep_glacier_percent,9.072769953051644
regular_glacier_percent,15.132042253521128
clean_glacier_percent,19.78286384976526
mixed_snow_percent,20.16725352112676
debris_rock_percent,34.82981220657277
total_glacier_percent,65.17018779342723
